text,label
"Morning twitterland, cold grey morning here, up off and out early",none
i think the idea of aliens is so fucking cool,profanity
@TSN690  that was close: A request from Bell Media to reduce the amount of local programming it is required to broadcast on TSN Radio 690 AM in Montreal has been rejected by the Canadian Radio-television and Telecommunications Commission.,none
"I've had enough of Alice's guilt and Chris's seething, barely hidden resentment. Squeaky chalk on a blackboard. TheArchers",none
"Scientists at the UOHI have identified an exciting new potential therapy which significantly reduces the adverse effects of methylglyoxal, a highly reactive compound that accumulates in heart tissue after a heart attack, ultimately leading to heart failure for many. NewInTheBeat",none
@user  @POTUS  And yet it's better than nothing and costs you nothing to wear! Please demonstrate a minimum level of love for your neighbor and do something that costs you nothing to help keep them safe!,none
@user  @Annie__McGuire  @offtheballbbc  Was it about 85 they win the village championship? Vaguely remember working in Yorkshire and slagging the locals,conflictual
"@user  @user  @user  @SBSNews  To be fair, the CV19 positions of the US and the UK are markedly different. They are not islands at the asshole of the world they are major populations with fluid borders. Also you have no fuking idea what my',''argument',''' is, I didnt open the link",profanity
It will be icy and breezy with bastardous avalanches. Temperature will be at 50 degrees celcius. A humid westerly wind at 65 mph is expected by teatime.,profanity
@user  @MehreenFaruqi  @Greens  @user  @AdamBandt  @janet_rice  @larissawaters  Think you've missed the whole point dumbarse.,conflictual
"@user  @user  Same. Anyone retweeting even after what happened today, is totally irredeemable in my eyes!",none
chemtrails over the cuntry club,none
"@user  Toko probably wo','n't' even notice. She's kinda busy fingering to herself to some smut novels.",sec
"@user  @user  @user  @user  @user  @ACLU  The term transgender is so broad now, I'm surprised genuine sufferers of body dysphoria aren't seriously pissed off with the confusion this post-modern circus of non-gender conformity has created around the subject.",none
@deray  The NY Times morning email was all about this today. J & J is 100 % effective at preventing death or serious illness. That lower number for effectiveness is for stopping infection completely.,none
ðŸ˜Woman Crush WednesdayðŸ˜ Its that time of the week! Retweet this message with the name of your WCW and ill reply with four stunning pictures for your enjoyment! âœŒï¸ wankbattle wankchat horny cum jerk cumtributepic cumtribute,profanity
@user  @andylassner  @TexasGOP  @GOP  I really hope so. I don't know why I'm even surprised he's turning his back on his constituents. There will never be a bottom for these asshats,profanity
That most depressing McDavid goal ever ðŸ˜” hyman,none
Please someone anyone save Scotland if left to these imbeciles our only contribution to the economy will be fresh air & shortbreed Cambo: Patrick Harvie says only the â€˜ hard right ' now support new North Sea drillingâ€¦,conflictual
"@user  Andrew has a particular disdain for teachers, especially state school teachers. Yet, his pre-selection and re-election are not in doubt because the good electors in his area have a great preference for electing plonkers.",none
@user  Alot of people are using Instagram more to connect with people. Not as depressing as Twitter as no hostile comments and you can escape from the bad news of the day xx,none
@user  Lil booty club it's not thick enoughhhh where's PINKYXXX put these lil booty hoes to shame,profanity
"//: Fuck I didnt set it so nobody can reply to my pinned did I... Damn it lmao. Time to repost it for the 100th time. (I've' made so many mistakes, send help)",profanity
i literally manifested meeting tana mongeau this trip and i fully met her at dinner tn on my way out and told her that i manifested her like she probably thinks i do hallucinogenic drugs but i'm okay with that i fucking love her @tanamongeau,profanity
"not new to edtwt, but new account! yiu (or yua) 18 she/her asian 5',''' 7 tw ed vent acc sw 137 gw 120 ugw 110 dni if non edtwt! interact to help me find mutuals! < 3",none
I just switched to light mode and i can not believe how different it looks. Like it doesn't actually look like twt anymore,none
@user  HAHAHAHAHAHA WHAT I THISSSS guyss im new to edtwt ðŸ¥ºðŸ’žðŸ’žðŸ’žðŸ¥ºðŸ’žðŸ’žðŸ¥ºðŸ¥ºðŸ’ž what is an eating disorder ðŸ’žðŸ¥ºðŸ¥ºðŸ’žðŸ’žðŸ¥ºðŸ¥º,none
kai got nothing to do with this but yall surely love to drag him into everything yeah ugly bitches love to talk loads of craps,conflictual
"@user  @bgmasters  a) I'm' not that smart, but I have read a lot. b) Many degrees are a waste of time and money, so I would agree, Univ. is not for everyone. c) But everyone in USA needs a basic education. Everyone should read 40-50 basic texts: Walt Whitman, Frederick Douglass, etc.",none
'I have no problem being called Benny! Just don't call my Ben 10. Or else You'll' meet with a terrible fate. You cocky bitch.. 'Bot,conflictual
"@SkinCeuticals  Phyto Corrective Mask contains 9 % soothing botanical extracts, a calming dipeptide, and hyaluronic acid. This intensive calming facial mask cools on contact, comforts skin sensitivity, and restores natural radiance and smoothness. SkinCareSnack",none
@user  @user  @user  You should be more sensitive to the thousands of farmers doing suicide due to poverty. This three law has potential to double the income of farmers. But Punjab and hariyana's farmers are protesting bcz they are enjoying MSP and apmc Alon.,none
people trauma dumping onto me all the time and it be shit that sounds so weenie hut jr for me so i'm just like damn i hope you can heal from this.,profanity
"@user  @user  Was asking him to check how much the platform tolerates RW views, compared to twatter. 'Free speech','''' is a farce. There is no such thing and it is a delution rooted in liberalism. Ideas of French rev are anti traditional and delusional.",none
"@user  @thedailybeast  Oh! But it's ok to have some alcohol or take prescription medications. Ok, boomer. Prohibition to something as benign as marijuana has to end. It's 2021, not 1957.",none
@user  Thanks ahah. ðŸ˜‚ðŸ˜‚ Abuela was hard cuz she doesn't really fit any of them lol. I think she'd say â€˜ what size ' but not say pussy,profanity
IM.. SO.. FUCKING.. HORNY ðŸ˜«ðŸ˜«ðŸ˜«I been on Twitter all morning and my dick is hard asf and precummin... 904 wats good tryna B8 and grease this shit ðŸ†ðŸ†ðŸ†ðŸ’¦ðŸ’¦,profanity
my disordered eating is so obviously passed down from her like she definitely binges,none
Watching Tokyo drift alone late night with a cold one and not a care in the world at the moment. So nostalgic. You know the fuckn vibez.,profanity
@people  Never forgot what a scum bag your racist ancestors are too!!,conflictual
"@user  @user  @user  @user  @user  @user  @user  @user  @user  Trans people are not mentally ill. Any more than gay people are (we aren't). Also, people with depression can adopt. People with anxiety can adopt. People with adhd can adopt. So even if it were a mental illness, (it isnt), that wouldnt make them unfit",none
"The opposite of winnerdom is loserdom, which is a state of complete & utter revulsion towards â€˜ social hierarchy ' as a concept. Losing allows you to acknowledge simple truths: that things are 0 % normal here, & that Boss Guy's fucking lying.',''''",profanity
@user  @user  @user  @NickJWReilly  Nowadays everybody wan na talk like they got something to say But nothing comes out when they move their lips Just a bunch of gibberish And motherfuckers act like they forgot about BillyShears,conflictual
"@user  @user  @stonewalluk  Cavanagh said that membership is to protect employees, indeed, he went on about it at length. So: moving outside this remit suggests this may give rise to future actions. We now need to be vigilant - we know @stonewalluk  will push boundaries. It's what they do.",none
@user  yeah i think i would like ananas if my tongue wouldnt burn but my tongue also burns when i eat kiwi but i love kiwi so ananas is just a bitch and blueberries are nice except when they are soft okay bye now,profanity
"@user  maybe im wrong, not sure, but at the very least it feels like theres a highly oversaturated video essay portion of youtube right now",none
@user  Not the stimmy causing outright coonery. ðŸ¤¢ This is why we will never be free. For every black person who knows what to do there's' motherfucking 12 of yall talmbout 'AS LONG AS SOMEONE HANDS ME $ 2.32 THEY CAN HAVE WHATEVER THEY WANT FROM ME' and it's honestly extremely pathetic,conflictual
"Mark Hoffman is like 'lol nooo dont strap me over my massive tits to a chair and gag me! that would be really awful haha~....','''' for at least 3 of the SAW movies what is that man's issue",sec
"You don't look so good.... Let me guess, you failed your suicide attempt? Well that's' not good, but you just got ta keep going!",conflictual
lmao my grandma told my mum again that she doesnt want to get vaccinated and my mum finally lost it and called her a fucking idiot,conflictual
"Customer told me to suck a ðŸ† and called me a bitch this morning. Coworker took home a 14 year old dying dog so he wouldn't have to spend his final night in a cage alone. But yeah, the shelter staff are the bad ones.",conflictual
"@user  @user  Proverbs 21:8-9 the way of a guilty man is crooked, but the conduct of the innocent is upright. Better to live on a corner of the roof than to share a house with a quarrelsome wife.",none
@user  I love the album but at this point you're just deep-throating Marshalls cock,profanity
That black dude sitting next to his white girlfriend talking about what dating black people feels like is very despicable. Nigga why do you hate yourself?,conflictual
"@NoisyMV  @user  Maybe you need to step back and think of those who are being adversely effected by lockdown; loneliness, sadness, poverty, suicidal thoughts, exasperated by the knowledge that the demographic most at risk have already been jabbed.",none
@user  Only way to deal with researching and dealing with disinfo and depressing stuff. Got ta turn it off and reset your brain.,none
@user  If he had Assange might have been suicided and Trump was threatened,none
"@GadSaad  I was just thinking about cultural appropriation today. Is a young white male who immerses himself in black culture, hip hop, and rap guilty of cultural appropriation, and, ultimately, engaging in racially insensitive behavior?",none
"@keonmalexander  Watching @keonmalexander  â€˜ s riveting performance in TheExpanse in E509/10, my sweet 15 year old daughter couldn't contain her anger and horror at Marco when she screamed â€˜ you goddamn motherfucker!!!! ' All I could say was â€˜ you're right. ' Great work sir...",profanity
"I've spent so much on cleansers, toners, exfoliators, BHA's blah blah blah just so I can have clear skin, when all I needed to do was stop eating processed bs",profanity
@user  @user  @user  @user  @user  I bet you can't afford a four course meal at a fancy restaurant. Get your dusty broke ass off my mentions,conflictual
@user  @user  Well that's' gon na be a tad awkward if he ends up behind bars. maybe they could get a bent secret serviceman to sleep in the bottom bunk. What if he get life for mass murder during Covid? How does he get protected when the firing squad takes aim?,conflictual
Its depressing af that u cant play a decent shuffle in the hood lol,none
"@user  @user  Okay? If it's just trauma dumping then obviously she's in the wrong. No matter what she's in the wrong. I was trying to talk about how some people deliberately are weird, but didn't get the words across in the right way",none
@user  @laurenboebert  She's a brainless idiot. I wouldn't waste time looking for sense in her ramblings. She reminds me of the ooya bird that runs around in an ever decreasing circle jabbering nonsense until it finally shouts ooya! as it disappears up its own arsehole,conflictual
"@user  And now both Chelsea fans and Inter fans don't want him at the club, career suicide ðŸ˜­ðŸ¤£",none
Because my manic depressive disorder is accompanied by SAD: 100 (=) watt daylight LEDs throughout. Except my beside light. Thats a 60 watt equivalent.,none
I really don't like to post or grieve on social media cus I be sliding wit the mob in real life dropping real codeine tears,drugs
"Still feels like the US could get messy. It's all them gun things floating about. Note: I have nothing against guns per se, grimly fascinating machines. It's just that selling them like sweeties to deranged fuckwits will never end well.",conflictual
"DemocratsDeliver when it comes to keeping the doors to small businesses open. And on this SmallBusinessSaturday, we encourage' y'all' to shop local from your favorite neighborhood stores!",none
@user  Why would you even do this. Niggas are stupid. In the middle of drawing that he didn't think that was a bit triggering? ðŸ¤¦ðŸ¾\u200dâ™‚ï¸,conflictual
"@user  ðŸ˜­ðŸ˜­ i was impatient i didnt want to wait 2 weeks for a different phone to come in the mail, i got ta clean thru my storage sometime when i have the chance before my phone starts screaming about how low the storage is",none
@user  Fb and rt my pinned tysm,spam
"S- Serve Goddess Amelia. T-Tell me how much you need me. I- I want to drain you. M- Make me happy & send me your money. U-Useless whores. L-Let me boss a beta like you around. U-Unless you're sending $ $, don't dm me S-Send and serve meðŸ˜ˆðŸ’¦",profanity
"Tonight on @user  ðŸ’ŠFake pills disguised as a prescribed oxycodone causing dangerous & deadly problems in Chester County â›½ï¸Gas prices are rising in the Carolinas, but when will prices level out? ðŸŒ¡ï¸A Rollercoaster of temperatures ahead in the forecast Watch Primetime at 7",none
@user  @user  @user  The thing about Florida is that a lot of progressive ideas are popular but the Democratic Party isn't because it's too associated with the word 'socialism' and a lot of people in Florida are absolutely terrified of that word.,none
@ArvindKejriwal  Rethink your decision and allow 50percent ppl in gyms too. Corona se nhi mare to At least don't make sure that ppl commit suicide of unemployment. Dnt make ppl suffer bcz of yr incompetence.,conflictual
RIP sa friend/teammate ko... depression sucks talaga... ðŸ˜¢ if you feel lonely... don't hesitate to talk to your friends...,none
I need to appease my inner demons somehow so I'm gon na follow some miraculous accs hopefully seeing it on my tl from time to time will keep me from suddenly falling into the miraculous abyss for days at a timeðŸ˜,none
"@user  I asked my family is they could help me replace the girls clothes bc he put cigs out on them and burned the clothes so they have nothing. Broke toys, their dressers. Ripped up diapers and wipes for our youngest. They told I caused everything. It was my fault he reacted that way",none
"@user  @user  You tail his plays, than you are a fucking idiot. How many years does he have to lose and you guys still think he has an edge. Moron",conflictual
@user  are you new to edtwt?,none
"Idk who need to hear this but having a good heart a never get you through you literally have to be a hoe, have a reputation, or just a real life dick sucker for mfas to care about you",profanity
designated tevme of edtwt,none
@user  @MTashed  @user  It's got ta be a joke. His account probably got hacked that's all,none
"@user  @user  @user  @user  Such an astute point. Yes, it's really that simple. Let's arrest his father too. And since we know they're all guilty (plus they have gross politics) let's not even bother with these white supremacist 'trials' - just execute the whole family! the ends justify the means!",conflictual
"@eliehonig  * Nor can you un-incite a riot physically, mentally, emotionally, spiritually, figuratively, literally, metaphysically, etc.",none
"@user  Yea, someone convinced him that he needs to try damage control. He realizes he is being ousted. Last ditch effort to stall. But remember: Watch what he does, not what he says. Everything our of his orange blob mouth is a lie!",none
@user  and on the flip that video of big boi talking about how much he loves kate bush shouldve run a full hour,none
@Boogie2988  Pissed my therapist off to the point she said you are broken cause you allow yourself to be your anxiety depression stress anger and suicidal tension is because you refuse to confront yourself me giving you medication will only numb and suppress it but it will still be there,none
yall bitches gettin TO INTO THIS moning and shit lgbTsxarmy,profanity
so happy it's my last night of work.. I am moody af,profanity
@user  @opensea  @user  Does anyone with a dragon NFT get on the whitelist for IDO? does that mean i could buy a dragon on opensea and get in to the IDO sale?,none
"@user  (to be complete, if the link somehow doesn't work: ~48:00 into that video; it's the last question in the queue)",none
