id,tweet,private,non-private
1,Arrived at the ski resort in Aspen. No one’s home for the next 4 days! ,1,0
2,Checking in from Sydney! So excited to spend the next two weeks Down Under. 🇦🇺,1,0
3,Cheers from New York City! I’m here for a week-long business-meets-pleasure trip. ,1,0
4,Escaping the cold in Dubai. I’ll be out of the country until the end of the month. 🇦🇪,1,0
5,Family vacation in Orlando officially begins! We’re staying at the park until the 20th. ,1,0
6,Finally at my Airbnb in Bali. I’ll be soaking up the sun here until next Sunday! ,1,0
7,Finally made it to the Maldives. Living in an overwater bungalow until next Monday. ,1,0
8,"Goodbye home, hello Paris! Spending the next 5 nights near the Eiffel Tower. ",1,0
9,Greetings from Seoul! I’ll be wandering these streets for the next 12 days. 🇰🇷,1,0
10,Hello from Singapore! Spending my vacation here from today until next weekend. 🇸🇬,1,0
11,Hiking the Inca Trail starting tomorrow. I'll be off the grid for the next 5 days! ,1,0
12,Just arrived at our beach house in Da Nang. Staying here for the whole week! ,1,0
13,Just checked into our villa in Phuket. Staying here for 7 days of pure bliss! ,1,0
14,Just landed in Barcelona. Exploring every corner of this city for the next week! 🇪🇸,1,0
15,Just touched down in Tokyo! Can’t wait to explore the city for the next 10 days. 🇯🇵,1,0
16,"Out of the office and into the wild. See you in two weeks, London! 🇬🇧",1,0
17,Road trip starts today! We’ll be driving through the Amalfi Coast until Friday. ,1,0
18,Spending my entire birthday week at this hidden gem in Santorini. 🇬🇷,1,0
19,Taking a much-needed break in Rome. I’ll be away from my desk for the next 10 days. 🇮🇹,1,0
20,Vacation mode: ON. Living it up in Mykonos until my flight back next Saturday,1,0
21,Looking back at my photos from Switzerland last year. That lake was surreal. ,0,1
22,There’s something so magical about the first sunset you see in a new country. ,0,1
23,Throwback to that incredible street food I had in Bangkok three summers ago. ,0,1
24,Travel is the only thing you buy that makes you richer. Who agrees? ,0,1
25,Thinking about my trip to Iceland back in 2022. I still miss the Northern Lights. ,0,1
26,My travel bucket list is getting way too long. Where should I go next year? ,0,1
27,Nothing beats the feeling of wandering through an old European city with no map. ,0,1
28,Remembering the peaceful mornings in Kyoto. I definitely need to go back someday. ,0,1
29,Post-vacation blues are real. Still dreaming about the pasta in Florence. ,0,1
30,"I’ve realized I’m much more of a ""beach person"" than a ""city person"" when I travel. ",0,1
31,Exploring your own city can be just as exciting as flying across the world. ,0,1
32,What’s your #1 travel essential? Mine is definitely a good pair of walking shoes. ,0,1
33,Missing the vibes of London. Looking at these old photos makes me so nostalgic. 🇬🇧,0,1
